Date,Ticker,Closing_Price,Opening_Price,Company Name,URL, StockDetails
2026-01-02,AAPL,270.75665283203125,272.0054842546519,Apple Inc.,https://www.apple.com, https://finance.yahoo.com/quote/AAPL/
2026-01-02,AMZN,226.5,231.33999633789065,"Amazon.com, Inc.",https://www.amazon.com, https://finance.yahoo.com/quote/AMZN/
2026-01-02,GOOGL,315.1499938964844,316.8999938964844,Alphabet Inc. (Google LLC),https://www.abc.xyz, https://finance.yahoo.com/quote/GOOG/
2026-01-02,META,650.4099731445312,662.72998046875,"Meta Platforms, Inc.",https://www.meta.com, https://finance.yahoo.com/quote/META/
2026-01-02,NFLX,90.98999786376952,94.12999725341795,"Netflix, Inc.",https://www.netflix.com, https://finance.yahoo.com/quote/NFLX/
2026-01-05,AAPL,267.0101623535156,270.38700744645297,Apple Inc.,https://www.apple.com, https://finance.yahoo.com/quote/AAPL/
2026-01-05,AMZN,233.05999755859372,228.83999633789065,"Amazon.com, Inc.",https://www.amazon.com, https://finance.yahoo.com/quote/AMZN/
2026-01-05,GOOGL,316.5400085449219,317.6600036621094,Alphabet Inc. (Google LLC),https://www.abc.xyz, https://finance.yahoo.com/quote/GOOG/
2026-01-05,META,658.7899780273438,651.010009765625,"Meta Platforms, Inc.",https://www.meta.com, https://finance.yahoo.com/quote/META/
2026-01-05,NFLX,91.45999908447266,90.91999816894533,"Netflix, Inc.",https://www.netflix.com, https://finance.yahoo.com/quote/NFLX/
2026-01-06,AAPL,262.1147155761719,266.7503924619391,Apple Inc.,https://www.apple.com, https://finance.yahoo.com/quote/AAPL/
2026-01-06,AMZN,240.92999267578125,232.1000061035156,"Amazon.com, Inc.",https://www.amazon.com, https://finance.yahoo.com/quote/AMZN/
2026-01-06,GOOGL,314.3399963378906,316.3999938964844,Alphabet Inc. (Google LLC),https://www.abc.xyz, https://finance.yahoo.com/quote/GOOG/
2026-01-06,META,660.6199951171875,659.5700073242188,"Meta Platforms, Inc.",https://www.meta.com, https://finance.yahoo.com/quote/META/
2026-01-06,NFLX,90.6500015258789,91.54000091552734,"Netflix, Inc.",https://www.netflix.com, https://finance.yahoo.com/quote/NFLX/
2026-01-07,AAPL,260.08660888671875,262.95395138764474,Apple Inc.,https://www.apple.com, https://finance.yahoo.com/quote/AAPL/
2026-01-07,AMZN,241.55999755859372,239.6100006103516,"Amazon.com, Inc.",https://www.amazon.com, https://finance.yahoo.com/quote/AMZN/
2026-01-07,GOOGL,321.9800109863281,314.3599853515625,Alphabet Inc. (Google LLC),https://www.abc.xyz, https://finance.yahoo.com/quote/GOOG/
